,0,10,20,30,40,50,60,70,80
2020-01-26,0,0,0,0,0,1,0,0,0
2020-01-27,0,0,0,0,0,1,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,1,0,0,0,0
2020-02-02,0,0,0,0,1,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,1,1,0,0,0,0
2020-02-06,0,0,0,0,1,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,1,0,1,0,1,0
2020-02-10,0,0,0,1,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0
2020-02-18,0,1,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,1,0,0,0,0,0
2020-02-21,0,0,0,2,0,0,0,0,0
2020-02-22,0,1,2,0,0,2,3,0,0
2020-02-23,0,0,5,1,0,2,2,0,0
2020-02-24,0,0,1,6,0,1,1,0,0
2020-02-25,0,0,1,2,1,0,2,0,0
2020-02-26,0,0,3,4,0,0,0,2,0
2020-02-27,0,0,2,5,4,2,0,0,0
2020-02-28,0,1,1,0,2,1,0,2,1
2020-02-29,0,2,2,1,3,3,0,0,0
2020-03-01,0,0,0,0,2,0,0,0,0
2020-03-02,0,0,1,0,0,1,0,0,0
2020-03-03,0,1,1,2,2,0,2,0,0
2020-03-04,2,1,2,0,5,0,0,0,0
2020-03-05,0,0,0,3,2,4,0,2,0
2020-03-06,1,3,2,4,1,0,0,1,1
2020-03-07,0,0,1,0,1,1,1,2,0
2020-03-08,0,0,5,1,0,2,4,0,0
2020-03-09,0,1,1,1,3,4,2,0,0
2020-03-10,0,1,2,1,3,3,0,0,0
2020-03-11,0,0,1,0,1,2,1,0,0
2020-03-12,0,0,0,0,3,1,2,0,0
2020-03-13,1,0,2,4,2,3,3,0,0
2020-03-14,0,0,1,1,1,3,3,1,0
2020-03-15,0,2,3,2,3,6,4,0,0
2020-03-16,1,1,7,3,6,11,2,2,0
2020-03-17,0,1,1,5,1,3,2,2,0
2020-03-18,2,0,3,6,1,3,2,2,1
2020-03-19,0,2,0,3,4,1,1,1,1
2020-03-20,0,0,1,1,2,2,3,0,3
2020-03-21,1,0,3,2,6,2,1,1,0
2020-03-22,1,0,3,4,2,3,2,0,0
2020-03-23,0,3,3,0,2,4,0,0,0
2020-03-24,0,1,6,6,2,3,1,0,5
2020-03-25,1,2,3,3,0,2,0,2,1
2020-03-26,0,1,6,1,0,2,1,0,2
2020-03-27,1,0,6,3,2,2,2,0,3
2020-03-28,1,1,7,6,0,4,0,1,0
2020-03-29,0,0,4,2,0,1,3,1,0
2020-03-30,0,0,4,1,3,3,0,0,1
