Date,Seoul,Gyeonggi,Total
2021/02/15,161,134,295
2021/02/16,258,154,412
2021/02/17,185,241,426
2021/02/18,180,189,369
2021/02/19,123,170,293
2021/02/20,130,171,301
2021/02/21,106,121,227
2021/02/22,125,127,252
2021/02/23,144,143,287
2021/02/24,122,138,260
2021/02/25,131,141,272
2021/02/26,131,169,300
2021/02/27,120,141,261
2021/02/28,92,160,252
2021/03/01,122,116,238
2021/03/02,119,227,346
2021/03/03,118,186,304
2021/03/04,129,173,302
2021/03/05,128,173,301
2021/03/06,132,172,304
2021/03/07,100,128,228
2021/03/08,102,188,290
2021/03/09,138,203,341
2021/03/10,138,184,322
2021/03/11,140,166,306
2021/03/12,140,164,304
2021/03/13,112,203,315
2021/03/14,109,161,270
2021/03/15,79,148,227
2021/03/16,120,186,306
2021/03/17,124,159,283
2021/03/18,146,157,303
2021/03/19,115,189,304
2021/03/20,125,157,282
2021/03/21,109,151,260
2021/03/22,97,124,221
2021/03/23,137,154,291
2021/03/24,127,147,274
2021/03/25,121,196,317
2021/03/26,127,145,272
2021/03/27,138,153,291
2021/03/28,107,131,238
2021/03/29,145,117,262
2021/03/30,158,111,269
2021/03/31,199,130,329
2021/04/01,166,160,326
2021/04/02,155,147,302
2021/04/03,149,150,299
2021/04/04,152,111,263
2021/04/05,147,107,254
2021/04/06,198,175,373
2021/04/07,244,230,474
2021/04/08,215,203,418
2021/04/09,201,202,403
2021/04/10,214,186,400
2021/04/11,162,176,338
2021/04/12,158,168,326
2021/04/13,247,238,485
2021/04/14,217,224,441
2021/04/15,216,221,437
2021/04/16,217,209,426
2021/04/17,204,184,388
2021/04/18,137,146,283
2021/04/19,148,189,337
2021/04/20,218,234,452
2021/04/21,230,222,452
2021/04/22,204,298,502
2021/04/23,253,244,497
2021/04/24,175,191,366
2021/04/25,154,150,304
2021/04/26,116,195,311
2021/04/27,257,194,451
2021/04/28,227,182,409
2021/04/29,227,151,378
2021/04/30,195,190,385
2021/05/01,182,145,327
2021/05/02,127,130,257
2021/05/03,184,124,308
2021/05/04,238,168,406
2021/05/05,212,142,354
2021/05/06,179,139,318
2021/05/07,242,194,436
2021/05/08,195,149,344
2021/05/09,141,137,278
2021/05/10,163,137,300
2021/05/11,222,187,409
2021/05/12,227,226,453
2021/05/13,231,173,404
2021/05/14,254,170,424
2021/05/15,213,161,374
2021/05/16,195,150,345
2021/05/17,172,137,309
2021/05/18,249,164,413
2021/05/19,242,187,429
2021/05/20,172,164,336
2021/05/21,208,165,373
2021/05/22,181,151,332
2021/05/23,139,122,261
2021/05/24,138,136,274
2021/05/25,261,189,450
2021/05/26,218,170,388
2021/05/27,214,149,363
2021/05/28,194,139,333
2021/05/29,160,160,320
2021/05/30,130,130,260
2021/05/31,147,116,263
2021/06/01,258,192,450
2021/06/02,215,211,426
2021/06/03,206,209,415
2021/06/04,277,211,488
2021/06/05,179,160,339
2021/06/06,159,151,310
2021/06/07,139,130,269
2021/06/08,183,161,344
2021/06/09,212,180,392
2021/06/10,204,173,377
2021/06/11,208,174,382
2021/06/12,176,149,325
2021/06/13,122,122,244
2021/06/14,131,120,251
2021/06/15,201,190,391
2021/06/16,201,183,384
2021/06/17,200,153,353
2021/06/18,197,145,342
2021/06/19,165,113,278
2021/06/20,134,91,225
2021/06/21,131,92,223
2021/06/22,236,191,427
2021/06/23,252,185,437
2021/06/24,269,183,452
2021/06/25,263,188,451
2021/06/26,242,173,415
2021/06/27,185,162,347
2021/06/28,205,230,435
2021/06/29,375,240,615
2021/06/30,333,249,582
2021/07/01,346,264,610
2021/07/02,359,252,611
2021/07/03,289,231,520
2021/07/04,307,220,527
2021/07/05,320,229,549
2021/07/06,582,367,949
2021/07/07,550,392,942
2021/07/08,503,405,908
2021/07/09,509,451,960
2021/07/10,509,407,916
2021/07/11,403,327,730
2021/07/12,417,318,735
2021/07/13,637,464,1101
2021/07/14,519,496,1015
2021/07/15,569,456,1025
2021/07/16,559,393,952
